Date	DAT	Time	TrayID	POT	Plant_ID	Position	TRT	Site
29.06.2022	127	29.06.2022 9:36	35_T_145-388-658	35	388	A2	T	T
29.06.2022	127	29.06.2022 9:36	35_T_145-388-658	35	658	A3	T	P
29.06.2022	127	29.06.2022 9:37	262_C_576-270-540	262	576	A1	C	P
29.06.2022	127	29.06.2022 9:37	262_C_576-270-540	262	270	A2	C	T
29.06.2022	127	29.06.2022 9:37	262_C_576-270-540	262	540	A3	C	P
29.06.2022	127	29.06.2022 9:38	268_C_588-282-552	268	588	A1	C	P
29.06.2022	127	29.06.2022 9:38	268_C_588-282-552	268	282	A2	C	T
29.06.2022	127	29.06.2022 9:38	268_C_588-282-552	268	552	A3	C	P
29.06.2022	127	29.06.2022 9:40	128_T_574-268-538	128	574	A1	T	P
29.06.2022	127	29.06.2022 9:40	128_T_574-268-538	128	268	A2	T	T
29.06.2022	127	29.06.2022 9:40	128_T_574-268-538	128	538	A3	T	P
29.06.2022	127	29.06.2022 9:41	134_T_586-280-550	134	586	A1	T	P
29.06.2022	127	29.06.2022 9:41	134_T_586-280-550	134	280	A2	T	T
29.06.2022	127	29.06.2022 9:41	134_T_586-280-550	134	550	A3	T	P
29.06.2022	127	29.06.2022 9:42	263_C_577-271-541	263	577	A1	C	P
29.06.2022	127	29.06.2022 9:42	263_C_577-271-541	263	271	A2	C	T
29.06.2022	127	29.06.2022 9:42	263_C_577-271-541	263	541	A3	C	P
29.06.2022	127	29.06.2022 9:43	269_C_589-283-553	269	589	A1	C	P
29.06.2022	127	29.06.2022 9:43	269_C_589-283-553	269	283	A2	C	T
29.06.2022	127	29.06.2022 9:43	269_C_589-283-553	269	553	A3	C	P
29.06.2022	127	29.06.2022 9:45	129_T_575-269-539	129	575	A1	T	P
29.06.2022	127	29.06.2022 9:45	129_T_575-269-539	129	269	A2	T	T
29.06.2022	127	29.06.2022 9:45	129_T_575-269-539	129	539	A3	T	P
29.06.2022	127	29.06.2022 9:46	135_T_587-281-551	135	587	A1	T	P
29.06.2022	127	29.06.2022 9:46	135_T_587-281-551	135	281	A2	T	T
29.06.2022	127	29.06.2022 9:46	135_T_587-281-551	135	551	A3	T	P
29.06.2022	127	29.06.2022 9:47	264_C_578-272-542	264	578	A1	C	P
29.06.2022	127	29.06.2022 9:47	264_C_578-272-542	264	272	A2	C	T
29.06.2022	127	29.06.2022 9:47	264_C_578-272-542	264	542	A3	C	P
29.06.2022	127	29.06.2022 9:49	270_C_590-284-554	270	590	A1	C	P
29.06.2022	127	29.06.2022 9:49	270_C_590-284-554	270	284	A2	C	T
29.06.2022	127	29.06.2022 9:49	270_C_590-284-554	270	554	A3	C	P
29.06.2022	127	29.06.2022 9:50	130_T_579-273-543	130	579	A1	T	P
29.06.2022	127	29.06.2022 9:50	130_T_579-273-543	130	273	A2	T	T
29.06.2022	127	29.06.2022 9:50	130_T_579-273-543	130	543	A3	T	P
29.06.2022	127	29.06.2022 9:51	121_T_561-255-525	121	561	A1	T	P
29.06.2022	127	29.06.2022 9:51	121_T_561-255-525	121	255	A2	T	T
29.06.2022	127	29.06.2022 9:51	121_T_561-255-525	121	525	A3	T	P
29.06.2022	127	29.06.2022 9:53	265_C_582-276-546	265	582	A1	C	P
29.06.2022	127	29.06.2022 9:53	265_C_582-276-546	265	276	A2	C	T
29.06.2022	127	29.06.2022 9:53	265_C_582-276-546	265	546	A3	C	P
29.06.2022	127	29.06.2022 9:54	122_T_562-256-526	122	562	A1	T	P
29.06.2022	127	29.06.2022 9:54	122_T_562-256-526	122	256	A2	T	T
29.06.2022	127	29.06.2022 9:54	122_T_562-256-526	122	526	A3	T	P
29.06.2022	127	29.06.2022 9:55	131_T_580-274-544	131	580	A1	T	P
29.06.2022	127	29.06.2022 9:55	131_T_580-274-544	131	274	A2	T	T
29.06.2022	127	29.06.2022 9:55	131_T_580-274-544	131	544	A3	T	P
29.06.2022	127	29.06.2022 9:56	257_C_565-259-529	257	565	A1	C	P
29.06.2022	127	29.06.2022 9:56	257_C_565-259-529	257	259	A2	C	T
29.06.2022	127	29.06.2022 9:56	257_C_565-259-529	257	529	A3	C	P
29.06.2022	127	29.06.2022 9:58	266_C_583-277-547	266	583	A1	C	P
29.06.2022	127	29.06.2022 9:58	266_C_583-277-547	266	277	A2	C	T
29.06.2022	127	29.06.2022 9:58	266_C_583-277-547	266	547	A3	C	P
29.06.2022	127	29.06.2022 9:59	123_T_563-257-527	123	563	A1	T	P
29.06.2022	127	29.06.2022 9:59	123_T_563-257-527	123	257	A2	T	T
29.06.2022	127	29.06.2022 9:59	123_T_563-257-527	123	527	A3	T	P
29.06.2022	127	29.06.2022 10:00	132_T_581-275-545	132	581	A1	T	P
29.06.2022	127	29.06.2022 10:00	132_T_581-275-545	132	275	A2	T	T
29.06.2022	127	29.06.2022 10:00	132_T_581-275-545	132	545	A3	T	P
29.06.2022	127	29.06.2022 10:02	258_C_566-260-530	258	566	A1	C	P
29.06.2022	127	29.06.2022 10:02	258_C_566-260-530	258	260	A2	C	T
29.06.2022	127	29.06.2022 10:02	258_C_566-260-530	258	530	A3	C	P
29.06.2022	127	29.06.2022 10:03	211_C_109-474-744	211	109	A1	C	D
29.06.2022	127	29.06.2022 10:03	211_C_109-474-744	211	474	A2	C	T
29.06.2022	127	29.06.2022 10:03	211_C_109-474-744	211	744	A3	C	P
29.06.2022	127	29.06.2022 10:04	94_T_63-201-777	94	63	A1	T	D
29.06.2022	127	29.06.2022 10:04	94_T_63-201-777	94	201	A2	T	T
29.06.2022	127	29.06.2022 10:04	94_T_63-201-777	94	777	A3	T	P
29.06.2022	127	29.06.2022 10:06	77_T_46-472-742	77	46	A1	T	D
29.06.2022	127	29.06.2022 10:06	77_T_46-472-742	77	472	A2	T	T
29.06.2022	127	29.06.2022 10:06	77_T_46-472-742	77	742	A3	T	P
29.06.2022	127	29.06.2022 10:07	217_C_60-486-756	217	60	A1	C	D
29.06.2022	127	29.06.2022 10:07	217_C_60-486-756	217	486	A2	C	T
29.06.2022	127	29.06.2022 10:07	217_C_60-486-756	217	756	A3	C	P
29.06.2022	127	29.06.2022 10:08	212_C_50-475-745	212	50	A1	C	D
29.06.2022	127	29.06.2022 10:08	212_C_50-475-745	212	475	A2	C	T
29.06.2022	127	29.06.2022 10:08	212_C_50-475-745	212	745	A3	C	P
29.06.2022	127	29.06.2022 10:09	83_T_56-484-754	83	56	A1	T	D
29.06.2022	127	29.06.2022 10:09	83_T_56-484-754	83	484	A2	T	T
29.06.2022	127	29.06.2022 10:09	83_T_56-484-754	83	754	A3	T	P
29.06.2022	127	29.06.2022 10:11	33_T_139-383-653	33	139	A1	T	D
29.06.2022	127	29.06.2022 10:11	33_T_139-383-653	33	383	A2	T	T
29.06.2022	127	29.06.2022 10:11	33_T_139-383-653	33	653	A3	T	P
29.06.2022	127	29.06.2022 10:12	218_C_61-487-757	218	61	A1	C	D
29.06.2022	127	29.06.2022 10:12	218_C_61-487-757	218	487	A2	C	T
29.06.2022	127	29.06.2022 10:12	218_C_61-487-757	218	757	A3	C	P
29.06.2022	127	29.06.2022 10:13	213_C_51-476-746	213	51	A1	C	D
29.06.2022	127	29.06.2022 10:13	213_C_51-476-746	213	476	A2	C	T
29.06.2022	127	29.06.2022 10:13	213_C_51-476-746	213	746	A3	C	P
29.06.2022	127	29.06.2022 10:15	84_T_57-485-755	84	57	A1	T	D
29.06.2022	127	29.06.2022 10:15	84_T_57-485-755	84	485	A2	T	T
29.06.2022	127	29.06.2022 10:15	84_T_57-485-755	84	755	A3	T	P
29.06.2022	127	29.06.2022 10:16	79_T_48-477-747	79	48	A1	T	D
29.06.2022	127	29.06.2022 10:16	79_T_48-477-747	79	477	A2	T	T
29.06.2022	127	29.06.2022 10:16	79_T_48-477-747	79	747	A3	T	P
29.06.2022	127	29.06.2022 10:17	219_C_148-488-758	219	148	A1	C	D
29.06.2022	127	29.06.2022 10:17	219_C_148-488-758	219	488	A2	C	T
29.06.2022	127	29.06.2022 10:17	219_C_148-488-758	219	758	A3	C	P
29.06.2022	127	29.06.2022 10:18	214_C_52-480-750	214	52	A1	C	D
29.06.2022	127	29.06.2022 10:18	214_C_52-480-750	214	480	A2	C	T
29.06.2022	127	29.06.2022 10:18	214_C_52-480-750	214	750	A3	C	P
29.06.2022	127	29.06.2022 10:20	85_T_58-489-759	85	58	A1	T	D
29.06.2022	127	29.06.2022 10:20	85_T_58-489-759	85	489	A2	T	T
29.06.2022	127	29.06.2022 10:20	85_T_58-489-759	85	759	A3	T	P
29.06.2022	127	29.06.2022 10:21	80_T_49-478-748	80	49	A1	T	D
29.06.2022	127	29.06.2022 10:21	80_T_49-478-748	80	478	A2	T	T
29.06.2022	127	29.06.2022 10:21	80_T_49-478-748	80	748	A3	T	P
29.06.2022	127	29.06.2022 10:22	220_C_38-492-762	220	38	A1	C	D
29.06.2022	127	29.06.2022 10:22	220_C_38-492-762	220	492	A2	C	T
29.06.2022	127	29.06.2022 10:22	220_C_38-492-762	220	762	A3	C	P
29.06.2022	127	29.06.2022 10:24	215_C_53-481-751	215	53	A1	C	D
29.06.2022	127	29.06.2022 10:24	215_C_53-481-751	215	481	A2	C	T
29.06.2022	127	29.06.2022 10:24	215_C_53-481-751	215	751	A3	C	P
29.06.2022	127	29.06.2022 10:25	86_T_35-490-760	86	35	A1	T	D
29.06.2022	127	29.06.2022 10:25	86_T_35-490-760	86	490	A2	T	T
29.06.2022	127	29.06.2022 10:25	86_T_35-490-760	86	760	A3	T	P
29.06.2022	127	29.06.2022 10:26	81_T_54-479-749	81	54	A1	T	D
29.06.2022	127	29.06.2022 10:26	81_T_54-479-749	81	479	A2	T	T
29.06.2022	127	29.06.2022 10:26	81_T_54-479-749	81	749	A3	T	P
29.06.2022	127	29.06.2022 10:28	221_C_39-493-763	221	39	A1	C	D
29.06.2022	127	29.06.2022 10:28	221_C_39-493-763	221	493	A2	C	T
29.06.2022	127	29.06.2022 10:28	221_C_39-493-763	221	763	A3	C	P
29.06.2022	127	29.06.2022 10:29	259_C_570-264-534	259	570	A1	C	P
29.06.2022	127	29.06.2022 10:29	259_C_570-264-534	259	264	A2	C	T
29.06.2022	127	29.06.2022 10:29	259_C_570-264-534	259	534	A3	C	P
29.06.2022	127	29.06.2022 10:30	180_C_194-410-680	180	194	A1	C	D
29.06.2022	127	29.06.2022 10:30	180_C_194-410-680	180	410	A2	C	T
29.06.2022	127	29.06.2022 10:30	180_C_194-410-680	180	680	A3	C	P
29.06.2022	127	29.06.2022 10:31	216_C_59-482-752	216	59	A1	C	D
29.06.2022	127	29.06.2022 10:31	216_C_59-482-752	216	482	A2	C	T
29.06.2022	127	29.06.2022 10:31	216_C_59-482-752	216	752	A3	C	P
29.06.2022	127	29.06.2022 10:33	61_T_80-441-711	61	80	A1	T	D
29.06.2022	127	29.06.2022 10:33	61_T_80-441-711	61	441	A2	T	T
29.06.2022	127	29.06.2022 10:33	61_T_80-441-711	61	711	A3	T	P
29.06.2022	127	29.06.2022 10:34	87_T_36-491-761	87	36	A1	T	D
29.06.2022	127	29.06.2022 10:34	87_T_36-491-761	87	491	A2	T	T
29.06.2022	127	29.06.2022 10:34	87_T_36-491-761	87	761	A3	T	P
29.06.2022	127	29.06.2022 10:35	60_T_76-437-707	60	76	A1	T	D
29.06.2022	127	29.06.2022 10:35	60_T_76-437-707	60	437	A2	T	T
29.06.2022	127	29.06.2022 10:35	60_T_76-437-707	60	707	A3	T	P
29.06.2022	127	29.06.2022 10:37	222_C_40-494-764	222	40	A1	C	D
29.06.2022	127	29.06.2022 10:37	222_C_40-494-764	222	494	A2	C	T
29.06.2022	127	29.06.2022 10:37	222_C_40-494-764	222	764	A3	C	P
29.06.2022	127	29.06.2022 10:38	196_C_79-444-714	196	79	A1	C	D
29.06.2022	127	29.06.2022 10:38	196_C_79-444-714	196	444	A2	C	T
29.06.2022	127	29.06.2022 10:38	196_C_79-444-714	196	714	A3	C	P
29.06.2022	127	29.06.2022 10:39	88_T_37-495-765	88	37	A1	T	D
29.06.2022	127	29.06.2022 10:39	88_T_37-495-765	88	495	A2	T	T
29.06.2022	127	29.06.2022 10:39	88_T_37-495-765	88	765	A3	T	P
29.06.2022	127	29.06.2022 10:41	62_T_81-442-712	62	81	A1	T	D
29.06.2022	127	29.06.2022 10:41	62_T_81-442-712	62	442	A2	T	T
29.06.2022	127	29.06.2022 10:41	62_T_81-442-712	62	712	A3	T	P
29.06.2022	127	29.06.2022 10:42	27_T_129-371-641	27	129	A1	T	D
29.06.2022	127	29.06.2022 10:42	27_T_129-371-641	27	371	A2	T	T
29.06.2022	127	29.06.2022 10:42	27_T_129-371-641	27	641	A3	T	P
29.06.2022	127	29.06.2022 10:43	197_C_84-445-715	197	84	A1	C	D
29.06.2022	127	29.06.2022 10:43	197_C_84-445-715	197	445	A2	C	T
29.06.2022	127	29.06.2022 10:43	197_C_84-445-715	197	715	A3	C	P
29.06.2022	127	29.06.2022 10:44	223_C_43-498-768	223	43	A1	C	D
29.06.2022	127	29.06.2022 10:44	223_C_43-498-768	223	498	A2	C	T
29.06.2022	127	29.06.2022 10:44	223_C_43-498-768	223	768	A3	C	P
29.06.2022	127	29.06.2022 10:46	63_T_82-443-713	63	82	A1	T	D
29.06.2022	127	29.06.2022 10:46	63_T_82-443-713	63	443	A2	T	T
29.06.2022	127	29.06.2022 10:46	63_T_82-443-713	63	713	A3	T	P
29.06.2022	127	29.06.2022 10:47	89_T_41-496-766	89	41	A1	T	D
29.06.2022	127	29.06.2022 10:47	89_T_41-496-766	89	496	A2	T	T
29.06.2022	127	29.06.2022 10:47	89_T_41-496-766	89	766	A3	T	P
29.06.2022	127	29.06.2022 10:48	198_C_85-446-716	198	85	A1	C	D
29.06.2022	127	29.06.2022 10:48	198_C_85-446-716	198	446	A2	C	T
29.06.2022	127	29.06.2022 10:48	198_C_85-446-716	198	716	A3	C	P
29.06.2022	127	29.06.2022 10:50	28_T_130-375-645	28	130	A1	T	D
29.06.2022	127	29.06.2022 10:50	28_T_130-375-645	28	375	A2	T	T
29.06.2022	127	29.06.2022 10:50	28_T_130-375-645	28	645	A3	T	P
29.06.2022	127	29.06.2022 10:51	64_T_83-447-717	64	83	A1	T	D
29.06.2022	127	29.06.2022 10:51	64_T_83-447-717	64	447	A2	T	T
29.06.2022	127	29.06.2022 10:51	64_T_83-447-717	64	717	A3	T	P
29.06.2022	127	29.06.2022 10:52	163_C_133-378-648	163	133	A1	C	D
29.06.2022	127	29.06.2022 10:52	163_C_133-378-648	163	378	A2	C	T
29.06.2022	127	29.06.2022 10:52	163_C_133-378-648	163	648	A3	C	P
29.06.2022	127	29.06.2022 10:54	199_C_86-450-720	199	86	A1	C	D
29.06.2022	127	29.06.2022 10:54	199_C_86-450-720	199	450	A2	C	T
29.06.2022	127	29.06.2022 10:54	199_C_86-450-720	199	720	A3	C	P
29.06.2022	127	29.06.2022 10:55	133_T_585-279-549	133	585	A1	T	P
29.06.2022	127	29.06.2022 10:55	133_T_585-279-549	133	279	A2	T	T
29.06.2022	127	29.06.2022 10:55	133_T_585-279-549	133	549	A3	T	P
29.06.2022	127	29.06.2022 10:56	65_T_88-448-718	65	88	A1	T	D
29.06.2022	127	29.06.2022 10:56	65_T_88-448-718	65	448	A2	T	T
29.06.2022	127	29.06.2022 10:56	65_T_88-448-718	65	718	A3	T	P
29.06.2022	127	29.06.2022 10:57	224_C_44-499-769	224	44	A1	C	D
29.06.2022	127	29.06.2022 10:57	224_C_44-499-769	224	499	A2	C	T
29.06.2022	127	29.06.2022 10:57	224_C_44-499-769	224	769	A3	C	P
29.06.2022	127	29.06.2022 10:59	200_C_87-451-721	200	87	A1	C	D
29.06.2022	127	29.06.2022 10:59	200_C_87-451-721	200	451	A2	C	T
29.06.2022	127	29.06.2022 10:59	200_C_87-451-721	200	721	A3	C	P
29.06.2022	127	29.06.2022 11:00	36_T_175-389-659	36	175	A1	T	D
29.06.2022	127	29.06.2022 11:00	36_T_175-389-659	36	389	A2	T	T
29.06.2022	127	29.06.2022 11:00	36_T_175-389-659	36	659	A3	T	P
29.06.2022	127	29.06.2022 11:01	66_T_89-449-719	66	89	A1	T	D
29.06.2022	127	29.06.2022 11:01	66_T_89-449-719	66	449	A2	T	T
29.06.2022	127	29.06.2022 11:01	66_T_89-449-719	66	719	A3	T	P
29.06.2022	127	29.06.2022 11:03	171_C_178-392-662	171	178	A1	C	D
29.06.2022	127	29.06.2022 11:03	171_C_178-392-662	171	392	A2	C	T
29.06.2022	127	29.06.2022 11:03	171_C_178-392-662	171	662	A3	C	P
29.06.2022	127	29.06.2022 11:04	201_C_92-452-722	201	92	A1	C	D
29.06.2022	127	29.06.2022 11:04	201_C_92-452-722	201	452	A2	C	T
29.06.2022	127	29.06.2022 11:04	201_C_92-452-722	201	722	A3	C	P
29.06.2022	127	29.06.2022 11:05	37_T_176-393-663	37	176	A1	T	D
29.06.2022	127	29.06.2022 11:05	37_T_176-393-663	37	393	A2	T	T
29.06.2022	127	29.06.2022 11:05	37_T_176-393-663	37	663	A3	T	P
29.06.2022	127	29.06.2022 11:06	67_T_90-453-723	67	90	A1	T	D
29.06.2022	127	29.06.2022 11:06	67_T_90-453-723	67	453	A2	T	T
29.06.2022	127	29.06.2022 11:06	67_T_90-453-723	67	723	A3	T	P
29.06.2022	127	29.06.2022 11:08	172_C_179-396-666	172	179	A1	C	D
29.06.2022	127	29.06.2022 11:08	172_C_179-396-666	172	396	A2	C	T
29.06.2022	127	29.06.2022 11:08	172_C_179-396-666	172	666	A3	C	P
29.06.2022	127	29.06.2022 11:09	202_C_93-456-726	202	93	A1	C	D
29.06.2022	127	29.06.2022 11:09	202_C_93-456-726	202	456	A2	C	T
29.06.2022	127	29.06.2022 11:09	202_C_93-456-726	202	726	A3	C	P
29.06.2022	127	29.06.2022 11:10	38_T_177-394-664	38	177	A1	T	D
29.06.2022	127	29.06.2022 11:10	38_T_177-394-664	38	394	A2	T	T
29.06.2022	127	29.06.2022 11:10	38_T_177-394-664	38	664	A3	T	P
29.06.2022	127	29.06.2022 11:12	68_T_91-454-724	68	91	A1	T	D
29.06.2022	127	29.06.2022 11:12	68_T_91-454-724	68	454	A2	T	T
29.06.2022	127	29.06.2022 11:12	68_T_91-454-724	68	724	A3	T	P
29.06.2022	127	29.06.2022 11:13	267_C_584-278-548	267	584	A1	C	P
29.06.2022	127	29.06.2022 11:13	267_C_584-278-548	267	278	A2	C	T
29.06.2022	127	29.06.2022 11:13	267_C_584-278-548	267	548	A3	C	P
29.06.2022	127	29.06.2022 11:14	203_C_94-457-727	203	94	A1	C	D
29.06.2022	127	29.06.2022 11:14	203_C_94-457-727	203	457	A2	C	T
29.06.2022	127	29.06.2022 11:14	203_C_94-457-727	203	727	A3	C	P
29.06.2022	127	29.06.2022 11:16	173_C_180-397-667	173	180	A1	C	D
29.06.2022	127	29.06.2022 11:16	173_C_180-397-667	173	397	A2	C	T
29.06.2022	127	29.06.2022 11:16	173_C_180-397-667	173	667	A3	C	P
29.06.2022	127	29.06.2022 11:17	69_T_96-455-725	69	96	A1	T	D
29.06.2022	127	29.06.2022 11:17	69_T_96-455-725	69	455	A2	T	T
29.06.2022	127	29.06.2022 11:17	69_T_96-455-725	69	725	A3	T	P
29.06.2022	127	29.06.2022 11:18	39_T_181-395-665	39	181	A1	T	D
29.06.2022	127	29.06.2022 11:18	39_T_181-395-665	39	395	A2	T	T
29.06.2022	127	29.06.2022 11:18	39_T_181-395-665	39	665	A3	T	P
29.06.2022	127	29.06.2022 11:19	204_C_95-458-728	204	95	A1	C	D
29.06.2022	127	29.06.2022 11:19	204_C_95-458-728	204	458	A2	C	T
29.06.2022	127	29.06.2022 11:19	204_C_95-458-728	204	728	A3	C	P
29.06.2022	127	29.06.2022 11:21	174_C_184-398-668	174	184	A1	C	D
29.06.2022	127	29.06.2022 11:21	174_C_184-398-668	174	398	A2	C	T
29.06.2022	127	29.06.2022 11:21	174_C_184-398-668	174	668	A3	C	P
29.06.2022	127	29.06.2022 11:22	70_T_97-459-729	70	97	A1	T	D
29.06.2022	127	29.06.2022 11:22	70_T_97-459-729	70	459	A2	T	T
29.06.2022	127	29.06.2022 11:22	70_T_97-459-729	70	729	A3	T	P
29.06.2022	127	29.06.2022 11:23	40_T_182-399-669	40	182	A1	T	D
29.06.2022	127	29.06.2022 11:23	40_T_182-399-669	40	399	A2	T	T
29.06.2022	127	29.06.2022 11:23	40_T_182-399-669	40	669	A3	T	P
29.06.2022	127	29.06.2022 11:25	205_C_99-462-732	205	99	A1	C	D
29.06.2022	127	29.06.2022 11:25	205_C_99-462-732	205	462	A2	C	T
29.06.2022	127	29.06.2022 11:25	205_C_99-462-732	205	732	A3	C	P
29.06.2022	127	29.06.2022 11:26	175_C_185-402-672	175	185	A1	C	D
29.06.2022	127	29.06.2022 11:26	175_C_185-402-672	175	402	A2	C	T
29.06.2022	127	29.06.2022 11:26	175_C_185-402-672	175	672	A3	C	P
29.06.2022	127	29.06.2022 11:27	71_T_98-460-730	71	98	A1	T	D
29.06.2022	127	29.06.2022 11:27	71_T_98-460-730	71	460	A2	T	T
29.06.2022	127	29.06.2022 11:27	71_T_98-460-730	71	730	A3	T	P
29.06.2022	127	29.06.2022 11:28	41_T_183-400-670	41	183	A1	T	D
29.06.2022	127	29.06.2022 11:28	41_T_183-400-670	41	400	A2	T	T
29.06.2022	127	29.06.2022 11:28	41_T_183-400-670	41	670	A3	T	P
29.06.2022	127	29.06.2022 11:30	206_C_100-463-733	206	100	A1	C	D
29.06.2022	127	29.06.2022 11:30	206_C_100-463-733	206	463	A2	C	T
29.06.2022	127	29.06.2022 11:30	206_C_100-463-733	206	733	A3	C	P
29.06.2022	127	29.06.2022 11:31	176_C_186-403-673	176	186	A1	C	D
29.06.2022	127	29.06.2022 11:31	176_C_186-403-673	176	403	A2	C	T
29.06.2022	127	29.06.2022 11:31	176_C_186-403-673	176	673	A3	C	P
29.06.2022	127	29.06.2022 11:32	72_T_102-461-731	72	102	A1	T	D
29.06.2022	127	29.06.2022 11:32	72_T_102-461-731	72	461	A2	T	T
29.06.2022	127	29.06.2022 11:32	72_T_102-461-731	72	731	A3	T	P
29.06.2022	127	29.06.2022 11:34	42_T_188-401-671	42	188	A1	T	D
29.06.2022	127	29.06.2022 11:34	42_T_188-401-671	42	401	A2	T	T
29.06.2022	127	29.06.2022 11:34	42_T_188-401-671	42	671	A3	T	P
29.06.2022	127	29.06.2022 11:35	207_C_101-464-734	207	101	A1	C	D
29.06.2022	127	29.06.2022 11:35	207_C_101-464-734	207	464	A2	C	T
29.06.2022	127	29.06.2022 11:35	207_C_101-464-734	207	734	A3	C	P
29.06.2022	127	29.06.2022 11:36	177_C_187-404-674	177	187	A1	C	D
29.06.2022	127	29.06.2022 11:36	177_C_187-404-674	177	404	A2	C	T
29.06.2022	127	29.06.2022 11:36	177_C_187-404-674	177	674	A3	C	P
29.06.2022	127	29.06.2022 11:38	73_T_103-465-735	73	103	A1	T	D
29.06.2022	127	29.06.2022 11:38	73_T_103-465-735	73	465	A2	T	T
29.06.2022	127	29.06.2022 11:38	73_T_103-465-735	73	735	A3	T	P
29.06.2022	127	29.06.2022 11:39	43_T_189-405-675	43	189	A1	T	D
29.06.2022	127	29.06.2022 11:39	43_T_189-405-675	43	405	A2	T	T
29.06.2022	127	29.06.2022 11:39	43_T_189-405-675	43	675	A3	T	P
29.06.2022	127	29.06.2022 11:40	208_C_106-468-738	208	106	A1	C	D
29.06.2022	127	29.06.2022 11:40	208_C_106-468-738	208	468	A2	C	T
29.06.2022	127	29.06.2022 11:40	208_C_106-468-738	208	738	A3	C	P
